id,title,subtitle,metadata
988,Practical Steps to Surviving as a Creative Freelancer When Work Dries Up,Do you have a map for tough…,{'title': 'Practical Steps to Surviving as a Creative Freelancer When Work Dries\xa0Up Do you have a map for\xa0tough…'}
989,9 Simple Microhabits to Rewire Your Brain and Automatically Improve Your Writing Skills,,{'title': '9 Simple Microhabits to Rewire Your Brain and Automatically Improve Your Writing\xa0Skills nan'}
990,Never Run Out of Article Topics: 5 Reliable Sources,"Look to past projects, things you want to learn…","{'title': 'Never Run Out of Article Topics: 5 Reliable\xa0Sources Look to past projects, things you want to\xa0learn…'}"
991,How I Write Three Drafts of Every Article Without Even Realizing It,,{'title': 'How I Write Three Drafts of Every Article Without Even Realizing It nan'}
992,The Practical 3-Step Guide to Writing More in Less Time,Here’s how to make the most of your writing…,{'title': 'The Practical 3-Step Guide to Writing More in Less\xa0Time Here’s how to make the most of your\xa0writing…'}
993,Stacking Time Series Models to Improve Accuracy,"Extracting signals from RNN, ARIMA, and Prophet models…","{'title': 'Stacking Time Series Models to Improve\xa0Accuracy Extracting signals from RNN, ARIMA, and Prophet\xa0models…'}"
994,7 Uses of Marketing Data Science,What is Marketing Data Science,{'title': '7 Uses of Marketing Data\xa0Science What is Marketing Data\xa0Science'}
995,"Big Data File Formats, Explained",Parquet vs ORC vs AVRO vs JSON. Which one to choose and how to use…,"{'title': 'Big Data File Formats, Explained Parquet vs ORC vs AVRO vs JSON. Which one to choose and how to\xa0use…'}"
996,Exact Algorithm or Heuristic?,A step-by-step guide to make the right choice for your mathematical…,{'title': 'Exact Algorithm or Heuristic? A step-by-step guide to make the right choice for your mathematical…'}
997,Hiring Exceptional Data Scientists,The outliers: going beyond just technical skill,{'title': 'Hiring Exceptional Data Scientists The outliers: going beyond just technical skill'}
998,Practical Approaches to Optimizng Budget in Marketing Mix Modeling,How to optimize the media mix…,{'title': 'Practical Approaches to Optimizng Budget in Marketing Mix\xa0Modeling How to optimize the media\xa0mix…'}
999,Optimization: Capacitated Facility Location Problem in Python,Find the optimal number and location of…,{'title': 'Optimization: Capacitated Facility Location Problem in\xa0Python Find the optimal number and location\xa0of…'}
1000,Gradient Descent vs. Gradient Boosting: A Side-by-Side Comparison,From Initialization to Convergence…,{'title': 'Gradient Descent vs. Gradient Boosting: A Side-by-Side Comparison From Initialization to Convergence…'}
1001,Scientists are approaching the first near-atomic simulations of whole cells,After the impact of AI on…,{'title': 'Scientists are approaching the first near-atomic simulations of whole\xa0cells After the impact of AI\xa0on…'}
1002,How strongly associated are your variables?,Use Cramer’s V test to check how strongly associated are…,{'title': 'How strongly associated are your variables? Use Cramer’s V test to check how strongly associated are…'}
1003,Visualized Linear Algebra to Get Started with Machine Learning: Part 2,Master elements of linear…,{'title': 'Visualized Linear Algebra to Get Started with Machine Learning: Part\xa02 Master elements of\xa0linear…'}
1004,Important MySQL Data Definition Language (DDL) commands we should know for managing our tables,,{'title': 'Important MySQL Data Definition Language (DDL) commands we should know for managing our\xa0tables nan'}
1005,Higher Precision Imaging of Espresso Baskets,To better measure the…,{'title': 'Higher Precision Imaging of Espresso\xa0Baskets To better measure\xa0the…'}
1006,The Most Popular Experience Design Trends of 2023,,{'title': 'The Most Popular Experience Design Trends of\xa02023 nan'}
1007,How people read online,Tips for accessible text.,{'title': 'How people read\xa0online Tips for accessible text.'}
1008,"Are you testing to test, or testing to prove?",The important difference between these two mentalities,"{'title': 'Are you testing to test, or testing to\xa0prove? The important difference between these two mentalities'}"
1009,How nostalgic UX suddenly became a global trend,And why we love products inspired by our childhood…,{'title': 'How nostalgic UX suddenly became a global\xa0trend And why we love products inspired by our childhood…'}
1010,Psych resources for UX professionals,Or why every UX pro should be an amateur psychologist.,{'title': 'Psych resources for UX professionals Or why every UX pro should be an amateur psychologist.'}
1011,How to assess confidence in RICE — a product management framework,Gut feeling is often not enough,{'title': 'How to assess confidence in RICE\u200a—\u200aa product management framework Gut feeling is often not\xa0enough'}
1012,I Quit My 6-Figure Job Once I Learned 5 Unpopular Things,"“We all thought to ourselves ‘yeah, but he’s…","{'title': 'I Quit My 6-Figure Job Once I Learned 5 Unpopular Things “We all thought to ourselves ‘yeah, but\xa0he’s…'}"
1013,How to succeed in the age of automation: 3 rules for modern work,Don’t get stuck doing busywork…,{'title': 'How to succeed in the age of automation: 3 rules for modern\xa0work Don’t get stuck doing busywork…'}
1014,"I Increased My Income From $300 to $7,000 As an Online Creator — Here’s How",#Celebrating small wins.,"{'title': 'I Increased My Income From $300 to $7,000 As an Online Creator\u200a—\u200aHere’s\xa0How #Celebrating small\xa0wins.'}"
1015,6 Paths To Becoming a ‘Writerpreneur’,And how to get there.,{'title': '6 Paths To Becoming a ‘Writerpreneur’ And how to get\xa0there.'}
1016,4 Simple (But Hard) Mindsets To Stop Self-Sabotaging Your Writing Career.,Earning $ is a by-product…,{'title': '4 Simple (But Hard) Mindsets To Stop Self-Sabotaging Your Writing\xa0Career. Earning $ is a by-product…'}
1017,"<strong class=""markup--strong markup--h3-strong"">3 Simple Ways to Reignite Our Writer’s Mind When It Sputters</strong>",Ideas that work,"{'title': '<strong class=""markup--strong markup--h3-strong"">3 Simple Ways to Reignite Our Writer’s Mind When It\xa0Sputters</strong> Ideas that\xa0work'}"
1018,The Era of Centralized Platforms Is Over,,{'title': 'The Era of Centralized Platforms Is\xa0Over nan'}
1019,"How to Find (and Cite) Quality Sources for Articles, Quickly",3 tips to speed up your research efforts.,"{'title': 'How to Find (and Cite) Quality Sources for Articles, Quickly 3 tips to speed up your research\xa0efforts.'}"
1020,How To Build a Strong Readership,Few tricks to nurture a consistent style that readers can’t get…,{'title': 'How To Build a Strong Readership Few tricks to nurture a consistent style that readers can’t\xa0get…'}
1021,3 Things New Writers Can Already Be Proud Of,Words of encouragement for the newest wordsmiths in our…,{'title': '3 Things New Writers Can Already Be Proud\xa0Of Words of encouragement for the newest wordsmiths in\xa0our…'}
1022,Creativity in Crisis: The True Cost of High Expectations,,{'title': 'Creativity in Crisis: The True Cost of High Expectations nan'}
1023,Quantum Computers in the Revolution of Artificial Intelligence and Machine Learning,,{'title': 'Quantum Computers in the Revolution of Artificial Intelligence and Machine\xa0Learning nan'}
1024,Please do not use ChatGPT to generate personas,The Importance of Human Input in UX Research,{'title': 'Please do not use ChatGPT to generate\xa0personas The Importance of Human Input in UX\xa0Research'}
1025,Patterns are good,Why should you care about them?,{'title': 'Patterns are\xa0good Why should you care about\xa0them?'}
1026,Mind the AI gap,UX keeps learning and working with AI tools to recognize any opportunity.,{'title': 'Mind the AI\xa0gap UX keeps learning and working with AI tools to recognize any opportunity.'}
1027,How To Turn Your LinkedIn Into a Six-Figure Money-Making Machine,LinkedIn has the potential to change…,{'title': 'How To Turn Your LinkedIn Into a Six-Figure Money-Making Machine LinkedIn has the potential to\xa0change…'}
1028,How I Became the “Go-To” Expert in My Niche in Less Than 3 Years,,{'title': 'How I Became the “Go-To” Expert in My Niche in Less Than 3\xa0Years nan'}
1029,How to Write a Winning Article That Attracts Readers(My Top 10 Tricks),Here is what you need to do to write a winning article.,{'title': 'How to Write a Winning Article That Attracts Readers(My Top 10\xa0Tricks) Here is what you need to do to write a winning\xa0article.'}
1030,Shark Fin SEO: Dominate the Search Rankings,And terrify your competitors,{'title': 'Shark Fin SEO: Dominate the Search\xa0Rankings And terrify your competitors'}
1031,5 Non-negotiables That Will Make You a Wildly Successful Freelancer,Everyone needs these…,{'title': '5 Non-negotiables That Will Make You a Wildly Successful Freelancer Everyone needs\xa0these…'}
1032,Psychological Techniques for Enhancing Your Writing,The power of the mind: Four psychological studies…,{'title': 'Psychological Techniques for Enhancing Your\xa0Writing The power of the mind: Four psychological studies…'}
1033,My Experience Receiving a Revise and Resubmit from a Big 5 Publisher,The things I learned from the…,{'title': 'My Experience Receiving a Revise and Resubmit from a Big 5 Publisher The things I learned from\xa0the…'}
1034,Ten Months to Publication: Published!,What happened on Teenage Kicks…,{'title': 'Ten Months to Publication: Published! What happened on Teenage\xa0Kicks…'}
1035,Make a Text Summarizer with GPT-3,"Quick tutorial using Python, OpenAI’s GPT-3, and Streamlit","{'title': 'Make a Text Summarizer with\xa0GPT-3 Quick tutorial using Python, OpenAI’s GPT-3, and Streamlit'}"
1036,3 Projects You Need in Your Data Science Portfolio,Data Science projects…,{'title': '3 Projects You Need in Your Data Science Portfolio Data Science projects…'}
1037,5 Steps to Build Beautiful Bar Charts with Python,How to use the full capabilities of Matplotlib to…,{'title': '5 Steps to Build Beautiful Bar Charts with\xa0Python How to use the full capabilities of Matplotlib to…'}
1038,Overcoming the Limitations of Large Language Models,How to enhance LLMs with human-like cognitive…,{'title': 'Overcoming the Limitations of Large Language\xa0Models How to enhance LLMs with human-like cognitive…'}
1039,5 Best Python Synthetic Data Generators And How to Use Them When You Lack Data,Let's get even more data,"{'title': ""5 Best Python Synthetic Data Generators And How to Use Them When You Lack\xa0Data Let's get even more\xa0data""}"
1040,Handling Slowly Changing Dimensions (SCD) using Delta Tables,Handling the challenge of slowly changing…,{'title': 'Handling Slowly Changing Dimensions (SCD) using Delta\xa0Tables Handling the challenge of slowly changing…'}
1041,The 4 Small but Powerful Ways to Improve Your Data Skills This Year,Level up Your Data Game by…,{'title': 'The 4 Small but Powerful Ways to Improve Your Data Skills This\xa0Year Level up Your Data Game\xa0by…'}
1042,Understanding Noisy Data and Uncertainty in Machine Learning,The actual reason your machine learning…,{'title': 'Understanding Noisy Data and Uncertainty in Machine\xa0Learning The actual reason your machine learning…'}
1043,Become Fluent in Python Decorators via Visualization,Comprehend Python Decorators By Visualization,{'title': 'Become Fluent in Python Decorators via Visualization Comprehend Python Decorators By Visualization'}
1044,E-Commerce: Who Is Likely to Convert?,Signal-based scoring is easier than you think and you don’t need…,{'title': 'E-Commerce: Who Is Likely to\xa0Convert? Signal-based scoring is easier than you think and you don’t\xa0need…'}
1045,TDSP: When Agile Meets Data Science,A practical guide to applying agile principles to data science…,{'title': 'TDSP: When Agile Meets Data\xa0Science A practical guide to applying agile principles to data\xa0science…'}
1046,How To Forecast With Moving Average Models,Tutorial and theory on how to carry out forecasts with…,{'title': 'How To Forecast With Moving Average\xa0Models Tutorial and theory on how to carry out forecasts with…'}
1047,HyperLogLog implemented using SQL,We look at an implementation of the HyperLogLog cardinality…,{'title': 'HyperLogLog implemented using\xa0SQL We look at an implementation of the HyperLogLog cardinality…'}
1048,Do Transformers Lose to Linear Models?,Long-Term Forecasting using Transformers may not be the way to…,{'title': 'Do Transformers Lose to Linear\xa0Models? Long-Term Forecasting using Transformers may not be the way\xa0to…'}
1049,API 101: Backdoor to Backend,"A Quick Dive Into The World of APIs, And How APIs Drive Applications","{'title': 'API 101: Backdoor to\xa0Backend A Quick Dive Into The World of APIs, And How APIs Drive Applications'}"
1050,K-means Clustering: An Introductory Guide and Practical Application,,{'title': 'K-means Clustering: An Introductory Guide and Practical Application nan'}
1051,Variance Reduction with Importance Sampling,Mathematical explanation and Python implementation,{'title': 'Variance Reduction with Importance Sampling Mathematical explanation and Python implementation'}
1052,How To Transform a Take-Home Assignment Into a Data Science Job,A step-by-step guide on how to create…,{'title': 'How To Transform a Take-Home Assignment Into a Data Science\xa0Job A step-by-step guide on how to\xa0create…'}
1053,Benchmarking Machine Learning Models with Cross-Validation and Matplotlib in Python,,{'title': 'Benchmarking Machine Learning Models with Cross-Validation and Matplotlib in\xa0Python nan'}
1054,"The smart, flexible way to run code on Kubernetes",,"{'title': 'The smart, flexible way to run code on Kubernetes nan'}"
1055,Creativity as a system,Seeing creativity as a system simplifies the creative process & allows for…,{'title': 'Creativity as a\xa0system Seeing creativity as a system simplifies the creative process & allows\xa0for…'}
1056,Breaking free from the fear of empty space in Design,The unexpected parallels between UX design in…,{'title': 'Breaking free from the fear of empty space in\xa0Design The unexpected parallels between UX design\xa0in…'}
1057,Is it time to break up with Alexa?,Jeff Bezos’s passion project is leading the company to financial…,{'title': 'Is it time to break up with\xa0Alexa? Jeff Bezos’s passion project is leading the company to financial…'}
1058,Estimating design time: why some designs take longer than others,,{'title': 'Estimating design time: why some designs take longer than\xa0others nan'}
1059,How to design like MacGyver,Using ingenuity and level-headedness to solve design problems,{'title': 'How to design like\xa0MacGyver Using ingenuity and level-headedness to solve design\xa0problems'}
1060,"<strong class=""markup--strong markup--h3-strong"">Tips for design influencers, unethical bridges, right-to-left UI</strong>",Weekly curated resources for…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Tips for design influencers, unethical bridges, right-to-left UI</strong> Weekly curated resources for…'}"
1061,11 tips to help your users feel more comfortable in VR,"Everyone experiences it differently, so be…","{'title': '11 tips to help your users feel more comfortable in\xa0VR Everyone experiences it differently, so\xa0be…'}"
1062,I Updated a One-Year-Old Article on My Site — Here’s What Happened,An underrated strategy to acquire…,{'title': 'I Updated a One-Year-Old Article on My Site\u200a—\u200aHere’s What\xa0Happened An underrated strategy to\xa0acquire…'}
1063,Should Writers Have to Use a Disclaimer When Using AI?,Let Quality Be the Measure and Value Be the…,{'title': 'Should Writers Have to Use a Disclaimer When Using\xa0AI? Let Quality Be the Measure and Value Be\xa0the…'}
1064,How Older Women Writers Prove that It’s Never Too Late to Gain Success,"Go, “Girls!”","{'title': 'How Older Women Writers Prove that It’s Never Too Late to Gain\xa0Success Go, “Girls!”'}"
1065,Should You Use AI to Create a High-Quality Blog Post for Your SEO?,Why I am personally not concerned…,{'title': 'Should You Use AI to Create a High-Quality Blog Post for Your\xa0SEO? Why I am personally not concerned…'}
1066,4 Secret Goldilocks Rules to Turn Your Boring Writing Into a $1000 Venture,If writing feels boring…,{'title': '4 Secret Goldilocks Rules to Turn Your Boring Writing Into a $1000\xa0Venture If writing feels\xa0boring…'}
1067,7 Tips for Writing Like a Pro: Insights from a Seasoned Copywriter,#1 Your writing should feel like…,{'title': '7 Tips for Writing Like a Pro: Insights from a Seasoned Copywriter #1 Your writing should feel\xa0like…'}
1068,Pointing Out Grammatical Mistakes Is an Act of Extreme Privilege,,{'title': 'Pointing Out Grammatical Mistakes Is an Act of Extreme Privilege nan'}
1069,How to Create a Content Writing Strategy You Can Stick With,Answer these 4 questions and you’re on…,{'title': 'How to Create a Content Writing Strategy You Can Stick\xa0With Answer these 4 questions and you’re\xa0on…'}
1070,How to Proofread for Maximum Effectiveness: Techniques and Strategies,No skimming or a quick glance…,{'title': 'How to Proofread for Maximum Effectiveness: Techniques and Strategies No skimming or a quick\xa0glance…'}
1071,Will Somebody Please Do These Writing Prompts With Me?,,{'title': 'Will Somebody Please Do These Writing Prompts With\xa0Me? nan'}
1072,Trust Your Creative Process,The importance of good old-fashioned rumination,{'title': 'Trust Your Creative\xa0Process The importance of good old-fashioned rumination'}
1073,How To Stay on Top of the Latest AI Research,Strategies on how to keep up with a rapidly advancing…,{'title': 'How To Stay on Top of the Latest AI\xa0Research Strategies on how to keep up with a rapidly advancing…'}
1074,How Does XGBoost Handle Multiclass Classification?,"It’s crucial to understand the underlying workings of classification using this kind of model, as it impacts performance.","{'title': 'How Does XGBoost Handle Multiclass Classification? It’s crucial to understand the underlying workings of classification using this kind of model, as it impacts performance.'}"
1075,How to Use the Synonyms Feature Correctly in Elasticsearch,Learn the simple but powerful synonyms…,{'title': 'How to Use the Synonyms Feature Correctly in Elasticsearch Learn the simple but powerful synonyms…'}
1076,How To Fix TypeError: ObjectId Is Not JSON Serializable,Converting a mongo cursor into JSON object in…,{'title': 'How To Fix TypeError: ObjectId Is Not JSON Serializable Converting a mongo cursor into JSON object\xa0in…'}
1077,"<strong class=""markup--strong markup--h3-strong"">Thread Summarization Using NLP</strong>","Extractive summarization using POS tagging, NER, and sentiment analysis","{'title': '<strong class=""markup--strong markup--h3-strong"">Thread Summarization Using\xa0NLP</strong> Extractive summarization using POS tagging, NER, and sentiment analysis'}"
1078,What is Online Transaction Processing (OLTP)?,Get to know the difference between OLTP and OLAP,{'title': 'What is Online Transaction Processing (OLTP)? Get to know the difference between OLTP and\xa0OLAP'}
1079,"<strong class=""markup--strong markup--h3-strong"">How to create an affordable Figma portfolio website</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">How to create an affordable Figma portfolio website</strong> nan'}"
1080,Designing friction-free experiences with service design,Plus 8 tips for making your service design a…,{'title': 'Designing friction-free experiences with service\xa0design Plus 8 tips for making your service design\xa0a…'}
1081,Sorry to Say But You Don’t Know How to Use Google,Here’s how you can 10x your productivity.,{'title': 'Sorry to Say But You Don’t Know How to Use\xa0Google Here’s how you can 10x your productivity.'}
1082,Steve Job’s 7 Timeless Rules For Building A Brand People Love,The safe road is the riskiest of them…,{'title': 'Steve Job’s 7 Timeless Rules For Building A Brand People\xa0Love The safe road is the riskiest of\xa0them…'}
1083,7 Actionable Steps to Start Your Career As a Freelancer,These tested strategies will push you to…,{'title': '7 Actionable Steps to Start Your Career As a Freelancer These tested strategies will push you\xa0to…'}
1084,Will Freelance Writing Die Because Of AI Software?,Who knows? But it will fundamentally change the…,{'title': 'Will Freelance Writing Die Because Of AI Software? Who knows? But it will fundamentally change\xa0the…'}
1085,"<strong class=""markup--strong markup--h3-strong"">4 Things I’d Do to Begin a Long Workday Filled with Enthusiasm and Positivity</strong>",We can control how we…,"{'title': '<strong class=""markup--strong markup--h3-strong"">4 Things I’d Do to Begin a Long Workday Filled with Enthusiasm and Positivity</strong> We can control how\xa0we…'}"
1086,How Creators Benefit From New Creator Economics,Solopreneurship on hype.,{'title': 'How Creators Benefit From New Creator Economics Solopreneurship on\xa0hype.'}
1087,How I Use These 4 Creative Hacks to Write Original and Unique Stories,Use these four creative writing…,{'title': 'How I Use These 4 Creative Hacks to Write Original and Unique\xa0Stories Use these four creative\xa0writing…'}
1088,How To Write Conflict In Fiction,Create purposeful conflict in every scene,{'title': 'How To Write Conflict In\xa0Fiction Create purposeful conflict in every\xa0scene'}
1089,4 Ways to Find Expert Sources to Interview for Writing Projects,How to connect with your ideal…,{'title': '4 Ways to Find Expert Sources to Interview for Writing\xa0Projects How to connect with your\xa0ideal…'}
1090,Awesome Data Science Tools to Master in 2023: Data Profiling Edition,,{'title': 'Awesome Data Science Tools to Master in 2023: Data Profiling Edition nan'}
1091,Intermediate Deep Learning with Transfer Learning,A practical guide for fine-tuning Deep Learning…,{'title': 'Intermediate Deep Learning with Transfer\xa0Learning A practical guide for fine-tuning Deep Learning…'}
1092,SQL Riddles to Test Your Wits,"Timestamps, dependent filters, and misbehaving left joins","{'title': 'SQL Riddles to Test Your\xa0Wits Timestamps, dependent filters, and misbehaving left\xa0joins'}"
1093,Programming in 3D: My First Steps into Quantum Computing,A world of computing…,{'title': 'Programming in 3D: My First Steps into Quantum Computing A world of computing…'}
1094,CLIP: Creating Image Classifiers Without Data,A hands-on tutorial explaining how to generate a custom…,{'title': 'CLIP: Creating Image Classifiers Without\xa0Data A hands-on tutorial explaining how to generate a\xa0custom…'}
1095,Identification: The Key to Credible Causal Inference,Improve your causal IQ and build trust in your…,{'title': 'Identification: The Key to Credible Causal Inference Improve your causal IQ and build trust in\xa0your…'}
1096,Visualized Linear Algebra to Get Started with Machine Learning: Part 1,Master elements of linear…,{'title': 'Visualized Linear Algebra to Get Started with Machine Learning: Part\xa01 Master elements of\xa0linear…'}
1097,Model Selection with Imbalance Data: Only AUC may Not Save you,Are you Searching Parameters…,{'title': 'Model Selection with Imbalance Data: Only AUC may Not Save\xa0you Are you Searching Parameters…'}
1098,A Guide to Live Inference with a Forecasting Model,Beyond offline training and testing predictions,{'title': 'A Guide to Live Inference with a Forecasting Model Beyond offline training and testing predictions'}
1099,Image Registration for Medical Datasets,From SimpleElastix to Spatial Transformer Networks,{'title': 'Image Registration for Medical\xa0Datasets From SimpleElastix to Spatial Transformer Networks'}
1100,Here’s My Data Science Workflow Template,"A step-by-step, quick guide focusing on the Data Science…","{'title': 'Here’s My Data Science Workflow\xa0Template A step-by-step, quick guide focusing on the Data\xa0Science…'}"
1101,Test Data Pipelines the Fun and Easy Way,Beginners guide: Why unit and integration tests are so…,{'title': 'Test Data Pipelines the Fun and Easy\xa0Way Beginners guide: Why unit and integration tests are\xa0so…'}
1102,Supercharge your cross-channel customer acquisition with marketing mix modeling,Offline marketing and…,{'title': 'Supercharge your cross-channel customer acquisition with marketing mix\xa0modeling Offline marketing and…'}
1103,Boost Machine Learning Model Performance through Effective Feature Engineering Techniques,,{'title': 'Boost Machine Learning Model Performance through Effective Feature Engineering Techniques nan'}
1104,Bridge the Gap Between Data and Humanity With the Power of This Python Library,Make your Python outputs more understandable to humans,{'title': 'Bridge the Gap Between Data and Humanity With the Power of This Python\xa0Library Make your Python outputs more understandable to\xa0humans'}
1105,Scene Representation Networks,Modeling complex 3D scenes at infinite resolution,{'title': 'Scene Representation Networks Modeling complex 3D scenes at infinite resolution'}
1106,How to make UX more visible: the power of the medium-fidelity design,How medium fidelity designs help…,{'title': 'How to make UX more visible: the power of the medium-fidelity design How medium fidelity designs\xa0help…'}
1107,"When teams lie to themselves, they fall apart",If your problem definition is “users don’t have my…,"{'title': 'When teams lie to themselves, they fall\xa0apart If your problem definition is “users don’t have\xa0my…'}"
1108,Design to win: How I use the power of comparison to unlock better design,The strategic use of…,{'title': 'Design to win: How I use the power of comparison to unlock better\xa0design The strategic use\xa0of…'}
1109,Designing for social change to create shared value innovation,Should all firms pursue shared value…,{'title': 'Designing for social change to create shared value innovation Should all firms pursue shared\xa0value…'}
1110,Boosting UX visibility across the organization,Educating stakeholders and advocating for UX and…,{'title': 'Boosting UX visibility across the organization Educating stakeholders and advocating for UX\xa0and…'}
1111,"Forget ChatGPT, Here Are New AI Tools That Will Blow Your Mind",Get more done in less time with these…,"{'title': 'Forget ChatGPT, Here Are New AI Tools That Will Blow Your\xa0Mind Get more done in less time with\xa0these…'}"
1112,8 Hard Truths About Making Money Online That Everyone Should Understand,And the guy who paid Gary Vee…,{'title': '8 Hard Truths About Making Money Online That Everyone Should Understand And the guy who paid Gary\xa0Vee…'}
1113,The Dead-Simple Content Review System That You Can Steal,How I review my stories to write more of what…,{'title': 'The Dead-Simple Content Review System That You Can\xa0Steal How I review my stories to write more of\xa0what…'}
1114,"<strong class=""markup--strong markup--h3-strong"">6 Effective Tips to Use ChatGPT as Noble Writers</strong>","As writers, we’re the most powerful users to make the most out of ChatGPT.","{'title': '<strong class=""markup--strong markup--h3-strong"">6 Effective Tips to Use ChatGPT as Noble\xa0Writers</strong> As writers, we’re the most powerful users to make the most out of\xa0ChatGPT.'}"
1115,"<strong class=""markup--strong markup--h3-strong"">Want to Release a Bestseller? Here’s A Plan.</strong>",Based on Big Deals,"{'title': '<strong class=""markup--strong markup--h3-strong"">Want to Release a Bestseller? Here’s A\xa0Plan.</strong> Based on Big\xa0Deals'}"
1116,"Yes, Freelancers Can Enjoy the Benefits of Business Intelligence Too",Stop relying on gut instinct…,"{'title': 'Yes, Freelancers Can Enjoy the Benefits of Business Intelligence Too Stop relying on gut instinct…'}"
1117,3 Cost-Cutting Habits That End up Costing Entrepreneurs More,Some moves only end up costing more in…,{'title': '3 Cost-Cutting Habits That End up Costing Entrepreneurs More Some moves only end up costing more\xa0in…'}
1118,Do You Know English Grammar Better Than ChatGPT?,"Check out how you perform against ChatGPT, DeepL…","{'title': 'Do You Know English Grammar Better Than\xa0ChatGPT? Check out how you perform against ChatGPT,\xa0DeepL…'}"
1119,My Shameful Writer’s Secret,And why it really doesn’t matter,{'title': 'My Shameful Writer’s\xa0Secret And why it really doesn’t\xa0matter'}
1120,Discover A Writing Style That’s Yours And Only Yours,Stop consuming and start living,{'title': 'Discover A Writing Style That’s Yours And Only\xa0Yours Stop consuming and start\xa0living'}
1121,Four Lessons Learned From a Decade and a Half of Writing Fanfiction,,{'title': 'Four Lessons Learned From a Decade and a Half of Writing Fanfiction nan'}
1122,"If I Ever Create A Writing Course, This Is What I Will Do",I’m as sick of false promises as you are,"{'title': 'If I Ever Create A Writing Course, This Is What I Will\xa0Do I’m as sick of false promises as you\xa0are'}"
1123,"Write Now With Alex Thornbury, Real-Life Alchemist and Potion",,"{'title': 'Write Now With Alex Thornbury, Real-Life Alchemist and\xa0Potion nan'}"
1124,Unboxing Google Bard and GPT-4,A first look at two major AI releases,{'title': 'Unboxing Google Bard and\xa0GPT-4 A first look at two major AI\xa0releases'}
1125,What Are the Data-Centric AI Concepts behind GPT Models?,Unpacking the data-centric AI techniques used…,{'title': 'What Are the Data-Centric AI Concepts behind GPT\xa0Models? Unpacking the data-centric AI techniques used…'}
1126,Measuring The Speed of New Pandas 2.0 Against Polars and Datatable — Still Not Good Enough,,{'title': 'Measuring The Speed of New Pandas 2.0 Against Polars and Datatable\u200a—\u200aStill Not Good\xa0Enough nan'}
1127,SQL users: Halve the length of (some of) your queries with this one trick,The QUALIFY clause is pure…,{'title': 'SQL users: Halve the length of (some of) your queries with this one\xa0trick The QUALIFY clause is\xa0pure…'}
1128,Constructing a Decision Tree Classifier: A Comprehensive Guide to Building Decision Tree Models from Scratch,,{'title': 'Constructing a Decision Tree Classifier: A Comprehensive Guide to Building Decision Tree Models from\xa0Scratch nan'}
1129,Charts that Tell a Story: Turn a Data Visualization into Something More,,{'title': 'Charts that Tell a Story: Turn a Data Visualization into Something More nan'}
1130,Six Books that Have Shaped My Data Career,"Great reads on modeling, processes, and leadership","{'title': 'Six Books that Have Shaped My Data\xa0Career Great reads on modeling, processes, and leadership'}"
1131,Using GPT-3.5-Turbo and GPT-4 to Apply Text-defined Data Quality Checks on Humanitarian Datasets,,{'title': 'Using GPT-3.5-Turbo and GPT-4 to Apply Text-defined Data Quality Checks on Humanitarian Datasets nan'}
1132,A Recommendation System For Academic Research (And Other Data Types)!,Implementing Natural Language…,{'title': 'A Recommendation System For Academic Research (And Other Data\xa0Types)! Implementing Natural Language…'}
1133,Distributed Hyperparameter Tuning in Vertex AI Pipeline,A path to enable the distributed…,{'title': 'Distributed Hyperparameter Tuning in Vertex AI\xa0Pipeline A path to enable the distributed…'}
1134,Take Your Forecasting to the Next Level with Harmonic Regression,Unveiling the fascinating…,{'title': 'Take Your Forecasting to the Next Level with Harmonic Regression Unveiling the fascinating…'}
1135,Time Series for Climate Change: Forecasting Wind Power,How to use time series analysis and forecasting…,{'title': 'Time Series for Climate Change: Forecasting Wind\xa0Power How to use time series analysis and forecasting…'}
1136,Sliding Windows in Pandas,Identify Patterns in Time-Series Data with Overlapping Window Techniques,{'title': 'Sliding Windows in\xa0Pandas Identify Patterns in Time-Series Data with Overlapping Window Techniques'}
1137,How To Use Argument Parsing for Greater Efficiency in Machine Learning Workflows,A complete guide on…,{'title': 'How To Use Argument Parsing for Greater Efficiency in Machine Learning Workflows A complete guide\xa0on…'}
1138,Diffusion Probabilistic Models and Text-to-Image Generation,Photorealistic Generation of Anything You…,{'title': 'Diffusion Probabilistic Models and Text-to-Image Generation Photorealistic Generation of Anything\xa0You…'}
1139,Public Benchmarks for Medical Natural Language Processing,A general introduction to a list of…,{'title': 'Public Benchmarks for Medical Natural Language Processing A general introduction to a list\xa0of…'}
1140,Usability heuristics in game design,Jakob Nielsen’s ten usability heuristics are broad principles…,{'title': 'Usability heuristics in game\xa0design Jakob Nielsen’s ten usability heuristics are broad principles…'}
1141,Product visioning through storytelling,"<strong class=""markup--strong markup--h4-strong"">A Product Vision tells the story and paints the picture of an</strong>","{'title': 'Product visioning through storytelling <strong class=""markup--strong markup--h4-strong"">A Product Vision tells the story and paints the picture of\xa0an</strong>'}"
1142,Software accessibility for users with Dyslexia,,{'title': 'Software accessibility for users with\xa0Dyslexia nan'}
1143,Starting out in UX? How a startup might offer you better opportunities,5 things UX professionals need…,{'title': 'Starting out in UX? How a startup might offer you better opportunities 5 things UX professionals need…'}
